股票代碼,產業別
1101,水泥
1102,水泥
1103,水泥
1104,水泥
1108,水泥
1109,水泥
1110,水泥
1201,食品
1203,食品
1210,食品
1213,食品
1215,食品
1216,食品
1217,食品
1218,食品
1219,食品
1220,食品
1225,食品
1227,食品
1229,食品
1231,食品
1232,食品
1233,食品
1234,食品
1235,食品
1236,食品
1256,食品
1702,食品
1737,食品
1301,塑膠
1303,塑膠
1304,塑膠
1305,塑膠
1307,塑膠
1308,塑膠
1309,塑膠
1310,塑膠
1312,塑膠
1313,塑膠
1314,塑膠
1315,塑膠
1319,塑膠
1321,塑膠
1323,塑膠
1324,塑膠
1325,塑膠
1326,塑膠
1337,塑膠
1339,塑膠
1340,塑膠
1715,塑膠
4306,塑膠
1402,紡織纖維
1409,紡織纖維
1410,紡織纖維
1413,紡織纖維
1414,紡織纖維
1416,紡織纖維
1417,紡織纖維
1418,紡織纖維
1419,紡織纖維
1423,紡織纖維
1432,紡織纖維
1434,紡織纖維
1439,紡織纖維
1440,紡織纖維
1441,紡織纖維
1443,紡織纖維
1444,紡織纖維
1445,紡織纖維
1446,紡織纖維
1447,紡織纖維
1449,紡織纖維
1451,紡織纖維
1452,紡織纖維
1453,紡織纖維
1454,紡織纖維
1455,紡織纖維
1456,紡織纖維
1457,紡織纖維
1459,紡織纖維
1460,紡織纖維
1463,紡織纖維
1464,紡織纖維
1465,紡織纖維
1466,紡織纖維
1467,紡織纖維
1468,紡織纖維
1469,紡織纖維
1470,紡織纖維
1472,紡織纖維
1473,紡織纖維
1474,紡織纖維
1475,紡織纖維
1476,紡織纖維
1477,紡織纖維
4414,紡織纖維
4426,紡織纖維
1503,電機機械
1504,電機機械
1506,電機機械
1507,電機機械
1512,電機機械
1513,電機機械
1514,電機機械
1515,電機機械
1517,電機機械
1519,電機機械
1521,電機機械
1522,電機機械
1524,電機機械
1525,電機機械
1526,電機機械
1527,電機機械
1528,電機機械
1529,電機機械
1530,電機機械
1531,電機機械
1532,電機機械
1533,電機機械
1535,電機機械
1536,電機機械
1537,電機機械
1538,電機機械
1539,電機機械
1540,電機機械
1541,電機機械
1558,電機機械
1560,電機機械
1583,電機機械
1589,電機機械
1590,電機機械
2049,電機機械
2228,電機機械
2231,電機機械
2371,電機機械
3167,電機機械
4526,電機機械
4532,電機機械
6605,電機機械
8374,電機機械
8996,電機機械
1603,電器電纜
1604,電器電纜
1605,電器電纜
1608,電器電纜
1609,電器電纜
1611,電器電纜
1612,電器電纜
1613,電器電纜
1614,電器電纜
1615,電器電纜
1616,電器電纜
1617,電器電纜
1618,電器電纜
1626,電器電纜
4930,電器電纜
1316,化工
1704,化工
1708,化工
1709,化工
1710,化工
1711,化工
1712,化工
1713,化工
1714,化工
1717,化工
1718,化工
1721,化工
1722,化工
1723,化工
1724,化工
1725,化工
1726,化工
1727,化工
1730,化工
1732,化工
1735,化工
1773,化工
4720,化工
4722,化工
4725,化工
4733,化工
4755,化工
1701,生技醫療
1707,生技醫療
1720,生技醫療
1729,生技醫療
1731,生技醫療
1733,生技醫療
1734,生技醫療
1736,生技醫療
1762,生技醫療
1783,生技醫療
1786,生技醫療
1789,生技醫療
3164,生技醫療
3705,生技醫療
4104,生技醫療
4106,生技醫療
4108,生技醫療
4119,生技醫療
4133,生技醫療
4137,生技醫療
4141,生技醫療
4142,生技醫療
4144,生技醫療
4164,生技醫療
4737,生技醫療
4746,生技醫療
1802,玻璃陶瓷
1806,玻璃陶瓷
1809,玻璃陶瓷
1810,玻璃陶瓷
1817,玻璃陶瓷
1902,造紙
1903,造紙
1904,造紙
1905,造紙
1906,造紙
1907,造紙
1909,造紙
2002,鋼鐵
2006,鋼鐵
2007,鋼鐵
2008,鋼鐵
2009,鋼鐵
2010,鋼鐵
2012,鋼鐵
2013,鋼鐵
2014,鋼鐵
2015,鋼鐵
2017,鋼鐵
2020,鋼鐵
2022,鋼鐵
2023,鋼鐵
2024,鋼鐵
2025,鋼鐵
2027,鋼鐵
2028,鋼鐵
2029,鋼鐵
2030,鋼鐵
2031,鋼鐵
2032,鋼鐵
2033,鋼鐵
2034,鋼鐵
2038,鋼鐵
3004,鋼鐵
5007,鋼鐵
5538,鋼鐵
9958,鋼鐵
2101,橡膠
2102,橡膠
2103,橡膠
2104,橡膠
2105,橡膠
2106,橡膠
2107,橡膠
2108,橡膠
2109,橡膠
2114,橡膠
2115,橡膠
1338,汽車
2201,汽車
2204,汽車
2206,汽車
2207,汽車
2227,汽車
1437,半導體
2302,半導體
2303,半導體
2311,半導體
2325,半導體
2329,半導體
2330,半導體
2337,半導體
2338,半導體
2342,半導體
2344,半導體
2351,半導體
2363,半導體
2369,半導體
2379,半導體
2388,半導體
2401,半導體
2408,半導體
2434,半導體
2436,半導體
2441,半導體
2449,半導體
2451,半導體
2454,半導體
2458,半導體
2481,半導體
3006,半導體
3014,半導體
3016,半導體
3034,半導體
3035,半導體
3041,半導體
3054,半導體
3094,半導體
3189,半導體
3257,半導體
3443,半導體
3474,半導體
3519,半導體
3532,半導體
3536,半導體
3545,半導體
3559,半導體
3579,半導體
3583,半導體
3588,半導體
3686,半導體
4919,半導體
4952,半導體
5269,半導體
5285,半導體
5305,半導體
5471,半導體
6202,半導體
6239,半導體
6243,半導體
6257,半導體
6271,半導體
6415,半導體
8016,半導體
8081,半導體
8110,半導體
8131,半導體
8150,半導體
8261,半導體
8271,半導體
2301,電腦及週邊設備
2305,電腦及週邊設備
2324,電腦及週邊設備
2331,電腦及週邊設備
2352,電腦及週邊設備
2353,電腦及週邊設備
2356,電腦及週邊設備
2357,電腦及週邊設備
2358,電腦及週邊設備
2362,電腦及週邊設備
2364,電腦及週邊設備
2365,電腦及週邊設備
2376,電腦及週邊設備
2377,電腦及週邊設備
2380,電腦及週邊設備
2382,電腦及週邊設備
2387,電腦及週邊設備
2395,電腦及週邊設備
2397,電腦及週邊設備
2399,電腦及週邊設備
2405,電腦及週邊設備
2417,電腦及週邊設備
2424,電腦及週邊設備
2425,電腦及週邊設備
2442,電腦及週邊設備
2465,電腦及週邊設備
3002,電腦及週邊設備
3005,電腦及週邊設備
3013,電腦及週邊設備
3017,電腦及週邊設備
3022,電腦及週邊設備
3046,電腦及週邊設備
3057,電腦及週邊設備
3060,電腦及週邊設備
3231,電腦及週邊設備
3416,電腦及週邊設備
3494,電腦及週邊設備
3515,電腦及週邊設備
3701,電腦及週邊設備
3706,電腦及週邊設備
4915,電腦及週邊設備
4916,電腦及週邊設備
4938,電腦及週邊設備
5215,電腦及週邊設備
5264,電腦及週邊設備
6117,電腦及週邊設備
6128,電腦及週邊設備
6166,電腦及週邊設備
6172,電腦及週邊設備
6206,電腦及週邊設備
6230,電腦及週邊設備
6235,電腦及週邊設備
6277,電腦及週邊設備
6414,電腦及週邊設備
8114,電腦及週邊設備
8163,電腦及週邊設備
8210,電腦及週邊設備
9912,電腦及週邊設備
2323,光電
2340,光電
2349,光電
2374,光電
2393,光電
2406,光電
2409,光電
2426,光電
2438,光電
2448,光電
2466,光電
2475,光電
2486,光電
2489,光電
2491,光電
2499,光電
3008,光電
3019,光電
3024,光電
3031,光電
3038,光電
3049,光電
3050,光電
3051,光電
3059,光電
3149,光電
3356,光電
3383,光電
3406,光電
3454,光電
3481,光電
3504,光電
3514,光電
3535,光電
3557,光電
3561,光電
3576,光電
3591,光電
3622,光電
3669,光電
3673,光電
3698,光電
4934,光電
4935,光電
4942,光電
4956,光電
4960,光電
4976,光電
5234,光電
5243,光電
5259,光電
5484,光電
6116,光電
6120,光電
6131,光電
6164,光電
6168,光電
6176,光電
6209,光電
6225,光電
6226,光電
6278,光電
6289,光電
6405,光電
8072,光電
8105,光電
8215,光電
2314,通信網路
2321,通信網路
2332,通信網路
2345,通信網路
2412,通信網路
2419,通信網路
2439,通信網路
2444,通信網路
2450,通信網路
2455,通信網路
2485,通信網路
2496,通信網路
2498,通信網路
3025,通信網路
3027,通信網路
3045,通信網路
3047,通信網路
3062,通信網路
3311,通信網路
3380,通信網路
3419,通信網路
3596,通信網路
3682,通信網路
3694,通信網路
3704,通信網路
4904,通信網路
4906,通信網路
4977,通信網路
4984,通信網路
5388,通信網路
6136,通信網路
6142,通信網路
6152,通信網路
6216,通信網路
6283,通信網路
6285,通信網路
8011,通信網路
8101,通信網路
1471,電子零組件
1582,電子零組件
2059,電子零組件
2308,電子零組件
2313,電子零組件
2316,電子零組件
2327,電子零組件
2328,電子零組件
2355,電子零組件
2367,電子零組件
2368,電子零組件
2375,電子零組件
2383,電子零組件
2385,電子零組件
2392,電子零組件
2402,電子零組件
2413,電子零組件
